"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"885,590";"-4,7"
"Helmikuu";"857,120";"-5,8"
"Maaliskuu";"630,960";"-1,2"
"Huhtikuu";"502,350";"0,4"
"Toukokuu";"260,620";"7"
"Kesäkuu";"146,670";"12,5"
"Heinäkuu";"133,960";"14,4"
"Elokuu";"170,370";"14"
"Syyskuu";"253,460";"9,1"
"Lokakuu";"432,590";"3,6"
"Marraskuu";"562,880";"0,8"
"Joulukuu";"612,710";"-1,5"
"Yhteensä";"5449,280";""
