"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"971,760";"-10,7"
"Helmikuu";"728,550";"-3,3"
"Maaliskuu";"783,250";"-2,3"
"Huhtikuu";"464,240";"4,7"
"Toukokuu";"350,510";"9,1"
"Kesäkuu";"184,810";"16,1"
"Heinäkuu";"205,170";"15,7"
"Elokuu";"240,540";"14,6"
"Syyskuu";"389,620";"9"
"Lokakuu";"603,980";"2,5"
"Marraskuu";"741,630";"-1"
"Joulukuu";"820,750";"-1,5"
"Yhteensä";"6484,810";""
