"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"1045,147";"-3,6"
"Helmikuu";"1038,624";"-4,8"
"Maaliskuu";"1135,800";"-4,7"
"Huhtikuu";"794,904";"2,5"
"Toukokuu";"537,311";"10"
"Kesäkuu";"401,549";"15,3"
"Heinäkuu";"317,663";"15,9"
"Elokuu";"370,442";"16"
"Syyskuu";"474,335";"13"
"Lokakuu";"742,513";"1,1"
"Marraskuu";"837,195";"-3,7"
"Joulukuu";"1021,290";"-8,1"
"Yhteensä";"8716,773";""
