"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"974,990";"-7,3"
"Helmikuu";"1104,350";"-10,4"
"Maaliskuu";"987,050";"-3,1"
"Huhtikuu";"792,220";"2,8"
"Toukokuu";"609,410";"9,2"
"Kesäkuu";"392,810";"18,6"
"Heinäkuu";"350,590";"19,6"
"Elokuu";"449,350";"14"
"Syyskuu";"688,440";"7,5"
"Lokakuu";"777,280";"6,2"
"Marraskuu";"990,270";"-0,9"
"Joulukuu";"1337,707";"-9,2"
"Yhteensä";"9454,467";""
