"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"999,410";"-14,7"
"Helmikuu";"594,770";"-2,6"
"Maaliskuu";"685,990";"-1,5"
"Huhtikuu";"511,120";"3,5"
"Toukokuu";"217,180";"12,4"
"Kesäkuu";"217,920";"14,3"
"Heinäkuu";"198,430";"16,5"
"Elokuu";"219,330";"14,1"
"Syyskuu";"338,060";"10,2"
"Lokakuu";"569,020";"2,6"
"Marraskuu";"728,550";"-2,9"
"Joulukuu";"819,340";"-2,9"
"Yhteensä";"6099,120";""
