"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"1261,917";"-6,2"
"Helmikuu";"980,748";"-4,7"
"Maaliskuu";"947,489";"-1,5"
"Huhtikuu";"782,007";"1,5"
"Toukokuu";"587,920";"9"
"Kesäkuu";"421,800";"15,6"
"Heinäkuu";"373,818";"16,8"
"Elokuu";"364,749";"16,8"
"Syyskuu";"610,879";"7,6"
"Lokakuu";"757,329";"5,5"
"Marraskuu";"929,530";"-0,1"
"Joulukuu";"1168,935";"-5,3"
"Yhteensä";"9187,121";""
