"Aikaväli";"Kulutus";"Lämpötila"
"Tammikuu";"770,470";"-0,5"
"Helmikuu";"733,230";"-2,2"
"Maaliskuu";"697,070";"-0,8"
"Huhtikuu";"656,540";"1,7"
"Toukokuu";"422,120";"7,6"
"Kesäkuu";"172,090";"17,9"
"Heinäkuu";"197,350";"15,1"
"Elokuu";"191,140";"14,8"
"Syyskuu";"524,930";"10,7"
"Lokakuu";"744,690";"6"
"Marraskuu";"849,370";"2,6"
"Joulukuu";"1002,500";"-1,1"
"Yhteensä";"6961,500";""
